mediaID,$.@id
mediaType,$.dcterms:type
subtypeLiteral,$.ac:subtype
subtype,$.ac:subtypeLiteral
title,$.dcterms:title
modified,$.dcterms:modified
MetadataDate,
metadataLanguageLiteral,$.ac:metadataLanguageLiteral
metadataLanguage,$.ac:metadataLanguage
commenterLiteral,
commenter,
comments,$.ac:comments
reviewerLiteral,
reviewer,
reviewerComments,
available,
hasServiceAccessPoint,
rights,$.dcterms:rights
rightsIRI,
Owner,$.ods:hasAgents
UsageTerms,$.xmpRights:UsageTerms
WebStatement,$.xmpRights:WebStatement
licenseLogoURL,
Credit,
attributionLogoURL,
attributionLinkURL,
fundingAttribution,
fundingAttributionID,
source,$.dcterms:source
sourceIRI,
creator,$.ods:hasAgents
creatorIRI,
providerLiteral,
provider,
metadataCreatorLiteral,
metadataCreator,
metadataProviderLiteral,
metadataProvider,
description,$.dcterms:description
caption,
language,$.dcterms:language
languageIRI,
tag,$.ac:tag
CreateDate,$.xmp:CreateDate
timeOfDay,$.ac:timeOfDay
captureDevice,$.ac:captureDevice
resourceCreationTechnique,$.ac:resourceCreationTechnique
collectionCode,
collectionID,
derivedFrom,
accessURI,$.ac:accessURI
format,$.dcterms:format
formatIRI,
variantLiteral,$.ac:variantLiteral
variant,$.ac:variant
variantDescription,$.ac:variantDescription
furtherInformationURL,
licensingException,
serviceExpectation,
hashFunction,
hashValue,
PixelXDimension,$.exif:PixelXDimension
PixelYDimension,$.exif:PixelYDimension
feedbackURL,